(1410.0,-1360.0) name=C0_300, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1580.0,-1360.0) name=C0_500, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1490.0,-1360.0) name=C0_400, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1250.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1430.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1610.0,-3125.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1254.08,-2625.0) name=opt_hybrid_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=5
(1494.08,-2625.0) name=opt_hybrid_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=5
(1734.08,-2625.0) name=opt_hybrid_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=5
(1974.08,-2625.0) name=opt_hybrid_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=5
(2690.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(2870.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
